index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
110,-r2.f2.d2.-d1.r2.r2.-d1.-f2.-d0.f0.-r0.-f1.r2.f0.d1.-f0.r2.-r1.r2,19,-r2.f2.d2.-d1.r2.r2.-d1.-f2.-d0.f0.-r0.-f1.r2.f0.d1.-f0.r2.-r1.r2,19,0
111,-r2.f2.-f1.r2.f2.-d1.r0.f2.r0.-d2.-r1.-d1.f0.d1.d2.-f1.-r2.d1.-r0.r2.f1,21,-r2.f2.-f1.r2.f2.-d1.r0.f2.r0.-d2.-r1.-d1.f0.d1.d2.-f1.-r2.d1.-r0.r2.f1,21,0
112,-f0.-r1.d2.f1.-d1.r0.r0.-f0.-r1.d0.-f2.d2.f0.d2.f1.-f0.d2.-r2.f0.r2.f2.d1.d1.-r2.r1.f1.-r0.f1.-r1,29,-f0.-r1.d2.f1.-d1.r0.r0.-f0.-r1.d0.-f2.d2.f0.d2.f1.-f0.d2.-r2.f0.r2.f2.d1.d1.-r2.r1.f1.-r0.f1.-r1,29,0
113,-r2.f2.f2.r2.d1.-f2.-r0.-f2.-d0.-r2.-d2.f2.f0.-r1.d2.d2.-f2.-r1.f2.-r1.d2.f1.d2.r1.-d2.-f1.-d2,27,-r2.f2.f2.r2.d1.-f2.-r0.-f2.-d0.-r2.-d2.f2.f0.-r1.d2.d2.-f2.-r1.f2.-r1.d2.f1.d2.r1.-d2.-f1.-d2,27,0
114,-r2.-f1.r1.-d0.r2.-f2.-d0.f2.-r2.-d0.f2.-r1.-d1.-f1.r1.r2.f0.r0.d1.-r2.d1.r2.d0.-d1.-r2.-r0,26,-r2.-f1.r1.-d0.r2.-f2.-d0.f2.-r2.-d0.f2.-r1.-d1.-f1.r1.r2.f0.r0.d1.-r2.d1.r2.d0.-d1.-r2.-r0,26,0
115,r2.-r1.d0.-f0.-f0.d0.-r0.f1.d1.r0.f0.d0.-d2.-d1.r2.-f1.r2.f1.r2.r2.d1.-r2.-r0,23,r2.-r1.d0.-f0.-f0.d0.-r0.f1.d1.r0.f0.d0.-d2.-d1.r2.-f1.r2.f1.r2.r2.d1.-r2.-r0,23,0
116,-d2.-r2.-d0.f0.-d0.f0.r2.-d1.f0.d0.d0.f0.-r1.f0.f1.-r2.d0.r2.-d1.-r2.-d2.f1.d1.d1.f0,25,-d2.-r2.-d0.f0.-d0.f0.r2.-d1.f0.d0.d0.f0.-r1.f0.f1.-r2.d0.r2.-d1.-r2.-d2.f1.d1.d1.f0,25,0
117,-d2.f0.-f2.d1.-d0.-f2.f1.-r0.f0.d0.r2.-f0.d0.r1.-f1.-f2.-r0.-d0.r1.d2.-f1.-d2.-f1.r1.f1,25,-d2.f0.-f2.d1.-d0.-f2.f1.-r0.f0.d0.r2.-f0.d0.r1.-f1.-f2.-r0.-d0.r1.d2.-f1.-d2.-f1.r1.f1,25,0
118,d2.f0.r2.-f0.-d0.-f0.-f0.d2.-r2.-f0.r2.-f0.r0.r0.f0.-r2.-f0.f2.-r0.f0.r0.-f2.-r0,23,d2.f0.r2.-f0.-d0.-f0.-f0.d2.-r2.-f0.r2.-f0.r0.r0.f0.-r2.-f0.f2.-r0.f0.r0.-f2.-r0,23,0
119,-r2.f2.-d0.-f0.-d0.r0.d2.-r0.r1.d2.-f2.-f2.-r1.d2.f2.-r0.-d2.f0.-f2.r2.-d2.f1.r1.-d2.-r1.d2.-f1.d2,28,-r2.f2.-d0.-f0.-d0.r0.d2.-r0.r1.d2.-f2.-f2.-r1.d2.f2.-r0.-d2.f0.-f2.r2.-d2.f1.r1.-d2.-r1.d2.-f1.d2,28,0
