index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
120,f0.-d1.f0.-f1.d0.-r2.f2.f2.r0.f2.-f1.r0.d1.d0.f1.d1.r1.-f1.r2.-d1.-r2.f0.-f2,23,f0.-d1.f0.-f1.d0.-r2.f2.f2.r0.f2.-f1.r0.d1.d0.f1.d1.r1.-f1.r2.-d1.-r2.f0.-f2,23,0
121,-d2.f2.r0.-d0.-d1.-f2.-d1.-r0.d1.-f1.d0.d0.-r2.-f2.d0.f2.-d0.r0.f0.f2.d1.-f0.-r1.f0.-r0.f1.-r2,27,-d2.f2.r0.-d0.-d1.-f2.-d1.-r0.d1.-f1.d0.d0.-r2.-f2.d0.f2.-d0.r0.f0.f2.d1.-f0.-r1.f0.-r0.f1.-r2,27,0
122,f2.d0.-d2.-f0.f1.-r1.r0.f2.-d2.-f0.r0.d1.-r0.-d1.r0.f0.-r2.-d1.f2.r2.-d1.f2.d1.-r2.-f2,25,f2.d0.-d2.-f0.f1.-r1.r0.f2.-d2.-f0.r0.d1.-r0.-d1.r0.f0.-r2.-d1.f2.r2.-d1.f2.d1.-r2.-f2,25,0
123,f0.-r2.f2.-r2.d2.r2.-f1.r2.f2.-r0.-f0.-r0.d2.f0.r0.f0.d1.-r2.-r1.d1.-f0.-r0.-f1.r0.d2.-r0,26,f0.-r2.f2.-r2.d2.r2.-f1.r2.f2.-r0.-f0.-r0.d2.f0.r0.f0.d1.-r2.-r1.d1.-f0.-r0.-f1.r0.d2.-r0,26,0
124,d0.-f0.r1.r1.-f0.-r2.-f0.-f1.-d2.-r0.-d0.-f0.-r0.f0.-d0.r0.d0.f0.-d0.-f0.-r0,21,d0.-f0.r1.r1.-f0.-r2.-f0.-f1.-d2.-r0.-d0.-f0.-r0.f0.-d0.r0.d0.f0.-d0.-f0.-r0,21,0
125,-r0.-r1.-d2.-r2.d2.-f1.r0.r0.d0.r0.d2.r0.-r1.-f2.r0.d1.r0.f2.r1.-d1.-f0.r1.f0,23,-r0.-r1.-d2.-r2.d2.-f1.r0.r0.d0.r0.d2.r0.-r1.-f2.r0.d1.r0.f2.r1.-d1.-f0.r1.f0,23,0
126,d2.-f1.-f2.d1.-r2.d2.-f1.r2.-r0.-d0.-d0.d1.-r0.-f1.r0.d0.r0.-f2.-r2.-d0.r2.f2,22,d2.-f1.-f2.d1.-r2.d2.-f1.r2.-r0.-d0.-d0.d1.-r0.-f1.r0.d0.r0.-f2.-r2.-d0.r2.f2,22,0
127,f1.-r1.d0.-d1.-f2.-r1.d0.-r0.d0.-d1.d0.-f0.d0.-r0.f2.d1.r2.-d0.-d1.r2.d1.-r2.-f2.-r2.d0.d0,26,f1.-r1.d0.-d1.-f2.-r1.d0.-r0.d0.-d1.d0.-f0.d0.-r0.f2.d1.r2.-d0.-d1.r2.d1.-r2.-f2.-r2.d0.d0,26,0
128,-d2.-r0.d0.r1.-r0.-d0.-f0.d0.f0.-r0.-r1.-d2.-f1.r0.-f1.r1.-f0.-f0.d1.-f1.-r2.d1.r2.-d1,24,-d2.-r0.d0.r1.-r0.-d0.-f0.d0.f0.-r0.-r1.-d2.-f1.r0.-f1.r1.-f0.-f0.d1.-f1.-r2.d1.r2.-d1,24,0
129,-r2.d1.d1.-f0.-d2.f2.-r2.d1.f2.-d2.r0.-d2.-r0.-f1.d2.d1.-f1.-r0.f1.r0.-d1.-f1.r2.r2.f1.-r2.-r2,27,-r2.d1.d1.-f0.-d2.f2.-r2.d1.f2.-d2.r0.-d2.-r0.-f1.d2.d1.-f1.-r0.f1.r0.-d1.-f1.r2.r2.f1.-r2.-r2,27,0
