index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
130,-f1.d0.-r0.f0.r2.-d0.-d0.-f0.-d2.f0.-r0.-d0.f0.r0.d0.f0.d1.-r0.-r0.d1.-r0.-f0.-d2.f0.r0.-d1.r0.f2.-d0.r0.d0.-f2,32,-f1.d0.-r0.f0.r2.-d0.-d0.-f0.-d2.f0.-r0.-d0.f0.r0.d0.f0.d1.-r0.-r0.d1.-r0.-f0.-d2.f0.r0.-d1.r0.f2.-d0.r0.d0.-f2,32,0
131,-d0.r0.d1.-d0.d2.-r0.f0.d1.-r2.-r1.d2.d1.d1.-f0.d1.f0.-d1.-f2.r2.d1.-r2.-r2.-d1.-r2.d1.d1.-r2.-r2.-d1,29,-d0.r0.d1.-d0.d2.-r0.f0.d1.-r2.-r1.d2.d1.d1.-f0.d1.f0.-d1.-f2.r2.d1.-r2.-r2.-d1.-r2.d1.d1.-r2.-r2.-d1,29,0
132,-f0.r0.-r1.f0.-d0.r0.r1.f2.-d2.r0.-d0.-f1.-f0.r2.f1.r1.-d2.f0.-f2.d1.d1.r2.-r0.f1.-r2.d1.d1.-f2.-f2.d1.f2.f2.r0,33,-f0.r0.-r1.f0.-d0.r0.r1.f2.-d2.r0.-d0.-f1.-f0.r2.f1.r1.-d2.f0.-f2.d1.d1.r2.-r0.f1.-r2.d1.d1.-f2.-f2.d1.f2.f2.r0,33,0
133,d1.-f1.-r1.-f0.-f1.d1.-f2.r1.-r0.d2.-r1.f0.-d2.r0.r1.-r2.f0.-r1.f0.f0.r2.f0.f0.d2.f0.f0,26,d1.-f1.-r1.-f0.-f1.d1.-f2.r1.-r0.d2.-r1.f0.-d2.r0.r1.-r2.f0.-r1.f0.f0.r2.f0.f0.d2.f0.f0,26,0
134,r2.-f2.-d2.-r1.-d1.-f2.-r0.f2.-d2.-r0.f2.-d0.-f2.-d2.f2.d1.-f0.-r2.f1.r2.-f0.-r2.-f1.r0.-d1.-d1.r2.-r0.-f1.r1.-d1.f1.-r1,33,r2.-f2.-d2.-r1.-d1.-f2.-r0.f2.-d2.-r0.f2.-d0.-f2.-d2.f2.d1.-f0.-r2.f1.r2.-f0.-r2.-f1.r0.-d1.-d1.r2.-r0.-f1.r1.-d1.f1.-r1,33,0
135,-f0.f1.d2.r0.d0.d2.-r0.d1.-r0.d1.d1.f0.-r0.f0.r2.-f0.r0.-r2.-d1.r2.f0.-r2.d2.d1.-f1.-d1.-d0.-r1.-d0.r1.-d2.-r1.d0.d0,34,-f0.f1.d2.r0.d0.d2.-r0.d1.-r0.d1.d1.f0.-r0.f0.r2.-f0.r0.-r2.-d1.r2.f0.-r2.-d0.r1.d2.-r1.-d0.r1.-d2.-r1.d0.d0,32,2
136,-r1.r0.d1.-d0.r0.d1.-r1.-f0.r0.-d2.-f0.-d0.d1.f0.d0.-r2.-d2.-d1.f1.d1.-r2.-d1.r2.-d1.r2.d1.-r2.-r2.-f1,29,-r1.r0.d1.-d0.r0.d1.-r1.-f0.r0.-d2.-f0.-d0.d1.f0.d0.-r2.-d2.-d1.f1.d1.-r2.-d1.r2.-d1.r2.d1.-r2.-r2.-f1,29,0
137,d0.r2.f0.f0.d0.-d1.-f1.r0.-d0.-f0.-r0.-f1.-d0.-r2.-f2.d0.f0.r2.-f0.-r2.d1.-r2.-r2.-r0.d1.-r0.-d1.r0.-d1.-r2,30,d0.r2.f0.f0.d0.-d1.-f1.r0.-d0.-f0.-r0.-f1.-d0.-r2.-f2.d0.f0.r2.-f0.-r2.d1.-r2.-r2.-r0.d1.-r0.-d1.r0.-d1.-r2,30,0
138,-r2.d2.-r0.-r0.r1.d1.f0.d2.-f0.d0.r0.f1.f0.r0.d1.f2.r1.-f2.d2.-d0.d1.-f0.-f0.r1.r1.d1.f0.f0.-d1,29,-r2.d2.-r0.-r0.r1.d1.f0.d2.-f0.d0.r0.f1.f0.r0.d1.f2.r1.-f2.d2.-d0.d1.-f0.-f0.r1.r1.d1.f0.f0.-d1,29,0
139,r2.-d2.f2.-r2.-f0.-d2.-f1.-f2.-d0.f0.-r2.d1.-f2.d1.f2.d0.r2.-d1.-r0.f1.-d1.r2.-f1.-r2.f1.d1.-r2.r0.-d1,29,r2.-d2.f2.-r2.-f0.-d2.-f1.-f2.-d0.f0.-r2.d1.-f2.d1.f2.d0.r2.-d1.-r0.f1.-d1.r2.-f1.-r2.f1.d1.-r2.r0.-d1,29,0
