index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
50,-d2.-r1.-f0.-d2.f2.-r2.r0.-d2.d1.-r2.-d2.-r0.-d2.r2.d2.r0.f1.d2.-r2.-d2.f0.d2.d2.-f1.-f0.r2,26,-d2.-r1.-f0.-d2.f2.-r2.r0.-d2.d1.-r2.-d2.-r0.-d2.r2.d2.r0.f1.d2.-r2.-d2.f0.d2.d2.-f1.-f0.r2,26,0
51,-r0.-d2.r1.f0.d1.-d2.r2.r1.-f2.-d0.r0.d1.r0.d2.r1.-r0.-f0.d1.-r1.-f0.-d1.-f0,22,-r0.-d2.r1.f0.d1.-d2.r2.r1.-f2.-d0.r0.d1.r0.d2.r1.-r0.-f0.d1.-r1.-f0.-d1.-f0,22,0
52,-f2.r0.d1.-r1.d0.-r2.-r2.-d0.r0.d1.r2.d2.-d0.f0.d0.f2.f1.-r2.f0.-r2.-f0.-d1.r2.d1.-r2,25,-f2.r0.d1.-r1.d0.-r2.-r2.-d0.r0.d1.r2.d2.-d0.f0.d0.f2.f1.-r2.f0.-r2.-f0.-d1.r2.d1.-r2,25,0
53,d2.-f0.r0.f0.r1.f0.f0.-f1.r0.-f2.-f0.r2.-d2.r0.f2.-r0.-r2.-d2.r0.r0.f0.d0.-f2.-r0.d2.-r0.d2,27,d2.-f0.r0.f0.r1.f0.f0.-f1.r0.-f2.-f0.r2.-d2.r0.f2.-r0.-r2.-d2.r0.r0.f0.d0.-f2.-r0.d2.-r0.d2,27,0
54,r1.-d2.-f0.d2.-f2.-r0.-d0.f2.-d2.r1.d1.f0.d2.-f1.-d1.f1.r2.-f1.-f0.-d2.-d2.r1.d2.f1.d2.f2,26,r1.-d2.-f0.d2.-f2.-r0.-d0.f2.-d2.r1.d1.f0.d2.-f1.-d1.f1.r2.-f1.-f0.-d2.-d2.r1.d2.f1.d2.f2,26,0
55,-d0.-f2.-r2.-r2.-d0.-r2.d1.f0.d2.r2.f2.r0.d2.-r2.d0.r1.-d0.-r0.-d1.r2.-r0.f1.r0,23,-d0.-f2.-r2.-r2.-d0.-r2.d1.f0.d2.r2.f2.r0.d2.-r2.d0.r1.-d0.-r0.-d1.r2.-r0.f1.r0,23,0
56,r2.-f1.-d0.r0.r0.f2.f2.d2.f0.d1.d0.r2.d1.r2.-f1.-d1.r2.d0.-d2.-f2.d1.f2.-d1,23,r2.-f1.-d0.r0.r0.f2.f2.d2.f0.d1.d0.r2.d1.r2.-f1.-d1.r2.d0.-d2.-f2.d1.f2.-d1,23,0
57,f2.d1.-r0.-d0.r1.f2.-r2.-d2.f1.r2.-f2.-r0.-f0.-f1.-r0.f1.d0.-f2.r0.f2.-r0.-d2,22,f2.d1.-r0.-d0.r1.f2.-r2.-d2.f1.r2.-f2.-r0.-f0.-f1.-r0.f1.d0.-f2.r0.f2.-r0.-d2,22,0
58,-f0.d0.r2.f0.r1.-d0.r1.-f2.-r1.r2.r2.f1.-f2.-r2.f1.d2.d0.d2.-r2.f0.-d2.-f0.-d0.f2.-f1.-f1,26,-f0.d0.r2.f0.r1.-d0.r1.-f2.-r1.r2.r2.f1.-f2.-r2.f1.d2.d0.d2.-r2.f0.-d2.-f0.-d0.f2.-f1.-f1,26,0
59,-d0.r0.-d2.r1.f1.-r2.r1.f0.r1.-f2.-f2.-r2.r1.f2.d0.f1.r2.d1.r2.-f1.-r2.-r2.f0,23,-d0.r0.-d2.r1.f1.-r2.r1.f0.r1.-f2.-f2.-r2.r1.f2.d0.f1.r2.d1.r2.-f1.-r2.-r2.f0,23,0
