index,orig_sol,orig_sol_len,new_sol,new_sol_len,sol_len_improvement
80,-f0.d2.-f0.-d1.f2.r1.-d2.d1.f0.r2.d2.-f0.-r2.-d2.f0.-r2.d1.f1.-r0.-f1.-d2.-d1.-r1.d2.-r2.r1,26,-f0.d2.-f0.-d1.f2.r1.-d2.d1.f0.r2.d2.-f0.-r2.-d2.f0.-r2.d1.f1.-r0.-f1.-d2.-d1.-r1.d2.-r2.r1,26,0
81,-r0.f0.r2.f1.-f0.d2.f0.-f2.-d2.f0.-r0.-f2.-r2.d2.d2.r1.d1.-d0.-f1.d0.d0.f1.-r1,23,-r0.f0.r2.f1.-f0.d2.f0.-f2.-d2.f0.-r0.-f2.-r2.d2.d2.r1.d1.-d0.-f1.d0.d0.f1.-r1,23,0
82,-d2.-d2.-r0.d0.f2.r1.-f1.d1.f0.d1.-r0.r1.-f0.d2.-r0.-d2.f0.r1.f0.-r1.f0.f0.-r1,23,-d2.-d2.-r0.d0.f2.r1.-f1.d1.f0.d1.-r0.r1.-f0.d2.-r0.-d2.f0.r1.f0.-r1.f0.f0.-r1,23,0
83,-f0.d0.f0.d2.f0.r2.-d2.-r1.f2.-d1.-r2.-f1.d1.-r2.-r2.r1.f1.r2.f1.-d2.-r1.-d2.r1.-d2.-f1.-d2,26,-f0.d0.f0.d2.f0.r2.-d2.-r1.f2.-d1.-r2.-f1.d1.-r2.-r2.r1.f1.r2.f1.-d2.-r1.-d2.r1.-d2.-f1.-d2,26,0
84,-d0.-r2.f2.-r2.-f1.d0.d0.-r2.-f0.r2.f1.r1.-f2.-r2.d2.-f2.r1.f2.f2.-r1.f0.d2.f2.-d2.-f2.-f0,26,-d0.-r2.f2.-r2.-f1.d0.d0.-r2.-f0.r2.f1.r1.-f2.-r2.d2.-f2.r1.f2.f2.-r1.f0.d2.f2.-d2.-f2.-f0,26,0
85,-f1.r0.d0.f0.-r1.r0.f1.d1.-f0.-r0.f0.-d2.f0.d0.-r1.-f0.f2.r1.r2.d1.-r2.-d1.f2.-d1.-f2,25,-f1.r0.d0.f0.-r1.r0.f1.d1.-f0.-r0.f0.-d2.f0.d0.-r1.-f0.f2.r1.r2.d1.-r2.-d1.f2.-d1.-f2,25,0
86,-d2.-f2.r2.-d2.-d2.-f0.-f0.r0.-d2.d0.r1.d2.r0.f1.d0.r1.f1.-d0.r1.d0.-r1.-d0.f2,23,-d2.-f2.r2.-d2.-d2.-f0.-f0.r0.-d2.d0.r1.d2.r0.f1.d0.r1.f1.-d0.r1.d0.-r1.-d0.f2,23,0
87,f0.-r0.-d2.f2.r0.-d0.f2.d1.-r0.-d2.r2.f1.d2.r2.f0.-r1.-d0.-f1.d0.r1.r0.-f2,22,f0.-r0.-d2.f2.r0.-d0.f2.d1.-r0.-d2.r2.f1.d2.r2.f0.-r1.-d0.-f1.d0.r1.r0.-f2,22,0
88,f2.d0.r1.f0.d0.-f0.r0.d2.r1.d0.r2.d0.-f1.-d0.-r1.-f0.d0.f0.-r2.d0.-d2.f1.-d1.f2.d1,25,f2.d0.r1.f0.d0.-f0.r0.d2.r1.d0.r2.d0.-f1.-d0.-r1.-f0.d0.f0.-r2.d0.-d2.f1.-d1.f2.d1,25,0
89,-d1.d2.-r2.-d2.-r0.f0.r1.f0.d2.-r2.d0.-r1.-r1.-d0.f0.-r2.f0.r1.-f0.r2.r2.-d1.-r2.-r2,24,-d1.d2.-r2.-d2.-r0.f0.r1.f0.d2.-r2.d0.-r1.-r1.-d0.f0.-r2.f0.r1.-f0.r2.r2.-d1.-r2.-r2,24,0
